canton,weights
AG,-3.5800563664580095e-6
AI,-5.680640221686657e-7
AR,7.734744407247047e-6
BE,-8.53822124647367e-6
BL,1.0585472180028319e-5
BS,7.767880833064116e-6
FR,3.561739332515606e-6
GE,-4.3857378589822466e-5
GL,5.5067572308308474e-6
GR,0.039852185261995104
JU,0.31099316444339725
LU,1.0507719175017629e-6
NE,-3.222671357860907e-5
NW,-3.6942146517275196e-6
OW,0.6269459907610136
SG,2.3381610891766145e-6
SO,6.472308841115274e-6
SZ,-2.037804014036313e-5
TG,5.017348984106561e-6
TI,-2.7298744064410724e-5
UR,4.3894753684155387e-7
VD,0.01058161922552821
VS,-1.9233087652620154e-8
ZG,-1.1219589849015995e-5
ZH,0.011727946431352256
