canton,weights
AG,0.8517224797953523
AI,-0.10363188998849669
AR,-0.0568070798662423
BL,0.07651166944438108
BS,0.017939697197484342
FR,0.08035383836447224
GE,-0.2407118612769098
GL,-0.07148386007644478
GR,-0.11693586862658573
JU,-0.013867236497689074
LU,0.21781337780138899
NE,0.1784348592883726
NW,-0.09773226650478725
OW,-0.24156625468231852
SG,0.12520329146044024
SH,-0.19498019716160067
SO,0.06209892278362846
SZ,-0.08961521629665102
TG,0.06140702521047636
TI,0.21141077557845167
UR,0.052238984106765876
VD,0.1533918141090015
VS,0.07971319964136206
ZG,-0.025840978583782048
ZH,0.08493277478061767
