month,days,canton,companies,employees,followers,other legal forms,AG's,GmbH's,share of AG's,share of GmbH's,financial sector,IT sector,other sectors,share of financial sector,share of IT sector,taxes,working_population,treatment
2017-06-30,516,ZG,16,518,202659551,0,10,6,0.625,0.375,7,6,3,0.4375,0.375,2361.0,79087.0,0.0
2017-06-30,516,ZH,8,695,10292041980,0,5,3,0.625,0.375,2,5,1,0.25,0.625,4356.0,952121.0,0.0
2017-06-30,516,GE,0,0,0,0,0,0,,,0,0,0,,,4892.0,309359.0,0.0
2017-07-31,547,ZG,17,519,202659712,0,11,6,0.6470588235294118,0.3529411764705882,8,6,3,0.4705882352941176,0.3529411764705882,2361.0,79087.0,0.0
2017-07-31,547,ZH,8,695,10292041980,0,5,3,0.625,0.375,2,5,1,0.25,0.625,4356.0,952121.0,0.0
2017-07-31,547,GE,0,0,0,0,0,0,,,0,0,0,,,4892.0,309359.0,0.0
2017-08-31,578,ZG,17,519,202659712,0,11,6,0.6470588235294118,0.3529411764705882,8,6,3,0.4705882352941176,0.3529411764705882,2361.0,79087.0,0.0
2017-08-31,578,ZH,8,695,10292041980,0,5,3,0.625,0.375,2,5,1,0.25,0.625,4356.0,952121.0,0.0
2017-08-31,578,GE,0,0,0,0,0,0,,,0,0,0,,,4892.0,309359.0,0.0
2017-09-30,608,ZG,18,519,202659736,0,12,6,0.6666666666666666,0.3333333333333333,8,6,3,0.4444444444444444,0.3333333333333333,2361.0,79087.0,0.0
2017-09-30,608,ZH,8,695,10292041980,0,5,3,0.625,0.375,2,5,1,0.25,0.625,4356.0,952121.0,0.0
2017-09-30,608,GE,1,1,10,0,0,1,0.0,1.0,1,0,0,1.0,0.0,4892.0,309359.0,0.0
2017-10-31,639,ZG,22,623,202666046,0,15,7,0.6818181818181818,0.3181818181818182,10,8,3,0.4545454545454545,0.3636363636363636,2361.0,79087.0,0.0
2017-10-31,639,ZH,10,718,10292043830,0,6,4,0.6,0.4,2,7,1,0.2,0.7,4356.0,952121.0,0.0
2017-10-31,639,GE,1,1,10,0,0,1,0.0,1.0,1,0,0,1.0,0.0,4892.0,309359.0,0.0
2017-11-30,669,ZG,25,659,202667651,0,17,8,0.68,0.32,11,9,4,0.44,0.36,2361.0,79087.0,0.0
2017-11-30,669,ZH,11,724,10292044108,0,7,4,0.6363636363636364,0.3636363636363636,3,7,1,0.2727272727272727,0.6363636363636364,4356.0,952121.0,0.0
2017-11-30,669,GE,1,1,10,0,0,1,0.0,1.0,1,0,0,1.0,0.0,4892.0,309359.0,0.0
2017-12-31,700,ZG,30,719,202677028,0,21,9,0.7,0.3,13,12,4,0.4333333333333333,0.4,2361.0,79087.0,0.0
2017-12-31,700,ZH,12,728,10292044288,0,8,4,0.6666666666666666,0.3333333333333333,3,7,2,0.25,0.5833333333333334,4356.0,952121.0,0.0
2017-12-31,700,GE,1,1,10,0,0,1,0.0,1.0,1,0,0,1.0,0.0,4892.0,309359.0,0.0
2018-01-31,731,ZG,32,749,202685653,0,23,9,0.71875,0.28125,14,13,4,0.4375,0.40625,2361.5,79597.0,0.0
2018-01-31,731,ZH,12,728,10292044288,0,8,4,0.6666666666666666,0.3333333333333333,3,7,2,0.25,0.5833333333333334,4356.0,962059.0,0.0
2018-01-31,731,GE,1,1,10,0,0,1,0.0,1.0,1,0,0,1.0,0.0,4892.0,312012.0,0.0
2018-02-28,759,ZG,37,799,202687979,2,24,11,0.6486486486486487,0.2972972972972973,16,15,5,0.4324324324324324,0.4054054054054054,2361.5,79597.0,0.0
2018-02-28,759,ZH,13,729,10294051399,1,8,4,0.6153846153846154,0.3076923076923077,4,7,2,0.3076923076923077,0.5384615384615384,4356.0,962059.0,0.0
2018-02-28,759,GE,1,1,10,0,0,1,0.0,1.0,1,0,0,1.0,0.0,4892.0,312012.0,0.0
2018-03-31,790,ZG,40,829,202691188,2,26,12,0.65,0.3,19,15,5,0.475,0.375,2361.5,79597.0,0.0
2018-03-31,790,ZH,15,739,10294053992,1,10,4,0.6666666666666666,0.2666666666666666,4,9,2,0.2666666666666666,0.6,4356.0,962059.0,0.0
2018-03-31,790,GE,1,1,10,0,0,1,0.0,1.0,1,0,0,1.0,0.0,4892.0,312012.0,0.0
2018-04-30,820,ZG,43,1026,202712093,3,28,12,0.6511627906976745,0.2790697674418604,20,15,7,0.4651162790697674,0.3488372093023256,2361.5,79597.0,0.0
2018-04-30,820,ZH,17,740,10294054117,1,10,6,0.5882352941176471,0.3529411764705882,6,9,2,0.3529411764705882,0.5294117647058824,4356.0,962059.0,0.0
2018-04-30,820,GE,3,69,16099,0,2,1,0.6666666666666666,0.3333333333333333,3,0,0,1.0,0.0,4892.0,312012.0,0.0
2018-05-31,851,ZG,48,1052,202714356,3,33,12,0.6875,0.25,23,16,8,0.4791666666666667,0.3333333333333333,2361.5,79597.0,0.0
2018-05-31,851,ZH,18,964,10296081160,1,11,6,0.6111111111111112,0.3333333333333333,7,9,2,0.3888888888888889,0.5,4356.0,962059.0,0.0
2018-05-31,851,GE,3,69,16099,0,2,1,0.6666666666666666,0.3333333333333333,3,0,0,1.0,0.0,4892.0,312012.0,0.0
2018-06-30,881,ZG,54,1289,203243520,3,39,12,0.7222222222222222,0.2222222222222222,23,21,9,0.4259259259259259,0.3888888888888889,2361.5,79597.0,0.0
2018-06-30,881,ZH,18,964,10296081160,1,11,6,0.6111111111111112,0.3333333333333333,7,9,2,0.3888888888888889,0.5,4356.0,962059.0,0.0
2018-06-30,881,GE,3,69,16099,0,2,1,0.6666666666666666,0.3333333333333333,3,0,0,1.0,0.0,4892.0,312012.0,0.0
2018-07-31,912,ZG,54,1289,203243520,3,39,12,0.7222222222222222,0.2222222222222222,23,21,9,0.4259259259259259,0.3888888888888889,2361.5,79597.0,0.0
2018-07-31,912,ZH,20,964,10296081264,1,11,8,0.55,0.4,9,9,2,0.45,0.45,4356.0,962059.0,0.0
2018-07-31,912,GE,4,73,16752,0,2,2,0.5,0.5,4,0,0,1.0,0.0,4892.0,312012.0,0.0
2018-08-31,943,ZG,56,1291,203247596,3,41,12,0.7321428571428571,0.2142857142857142,23,23,9,0.4107142857142857,0.4107142857142857,2361.5,79597.0,0.0
2018-08-31,943,ZH,21,1010,10296300330,1,12,8,0.5714285714285714,0.3809523809523809,10,9,2,0.4761904761904761,0.4285714285714285,4356.0,962059.0,0.0
2018-08-31,943,GE,4,73,16752,0,2,2,0.5,0.5,4,0,0,1.0,0.0,4892.0,312012.0,0.0
2018-09-30,973,ZG,57,1318,203248467,3,42,12,0.7368421052631579,0.2105263157894736,23,24,9,0.4035087719298245,0.4210526315789473,2361.5,79597.0,0.0
2018-09-30,973,ZH,21,1010,10296300330,1,12,8,0.5714285714285714,0.3809523809523809,10,9,2,0.4761904761904761,0.4285714285714285,4356.0,962059.0,0.0
2018-09-30,973,GE,5,84,17670,0,3,2,0.6,0.4,5,0,0,1.0,0.0,4892.0,312012.0,0.0
2018-10-31,1004,ZG,57,1318,203248467,3,42,12,0.7368421052631579,0.2105263157894736,23,24,9,0.4035087719298245,0.4210526315789473,2361.5,79597.0,0.0
2018-10-31,1004,ZH,22,1084,10296300687,1,12,9,0.5454545454545454,0.4090909090909091,11,9,2,0.5,0.4090909090909091,4356.0,962059.0,0.0
2018-10-31,1004,GE,7,86,20302,0,3,4,0.4285714285714285,0.5714285714285714,5,1,1,0.7142857142857143,0.1428571428571428,4892.0,312012.0,0.0
2018-11-30,1034,ZG,58,1326,203251516,3,43,12,0.7413793103448276,0.2068965517241379,24,24,9,0.4137931034482758,0.4137931034482758,2361.5,79597.0,0.0
