canton,weights
AG,-0.040859765381188365
AI,-4.415885774397477e-4
AR,0.027849518698906377
BL,0.03640386951481101
BS,0.021526887650983696
FR,0.012041440753355798
GE,-0.18444516877210915
GL,0.020278724103709733
GR,-0.11844552635827058
JU,0.19939351453903237
LU,0.2187937445509178
NE,0.3597361833200906
NW,-0.011326339049552697
OW,-0.09161348462335202
SG,0.040592985746302365
SH,-0.06617910897377914
SO,0.02230176243969683
SZ,-0.04253511631638834
TG,0.01726981855941797
TI,0.21528607251506254
UR,0.4113702717155203
VD,-0.07972040385815923
VS,-3.537710577087066e-4
ZG,-0.014045438123465672
ZH,0.047120916983178204
