canton,weights
AG,-4.599827769928703e-5
AR,3.911209436181907e-5
BE,-9.026170884368314e-5
BL,9.157901327846308e-6
BS,1.9454971763983122e-5
FR,3.161219580042704e-6
GE,-2.2467511041449067e-5
GL,0.34290983783430595
GR,1.9823193696071335e-5
JU,3.696784591790057e-5
LU,-9.374464894285063e-6
NE,2.3174624252747143e-5
NW,0.6533846036484432
OW,4.134504929121024e-5
SG,-2.185329710104102e-5
SH,3.5560105955393254e-5
SO,9.647388657576796e-6
SZ,2.4359858628880525e-5
TG,8.762444275792848e-6
TI,-3.9444637296175155e-7
UR,0.003828822546831303
VD,-6.186202223516714e-5
VS,7.280974570282141e-7
ZG,2.4023755033769515e-5
ZH,-1.6633085133372814e-4
