canton,weights
AG,7.25175022822281e-10
AR,1.875354010813541e-7
BE,-6.086892487606072e-10
BL,-2.6153924339868876e-8
BS,1.4481321334434127e-9
FR,0.13293496105819647
GE,-7.916912633024545e-10
GL,0.04744393768918657
GR,-6.056083961699952e-10
JU,-7.798517360312934e-7
LU,3.252993872053967e-9
NE,9.317347044327578e-10
NW,0.42839798485555064
OW,3.183804484213914e-7
SG,2.7824279009634574e-9
SH,-3.1697238113049984e-07
SO,0.026507040994639918
SZ,1.330463932418628e-9
TG,0.0786269655659304
TI,-6.948889750118642e-11
UR,2.339505020926575e-9
VD,1.4621047675206284e-10
VS,0.2860897161466286
ZG,-1.4886529655596225e-10
ZH,1.8736666520213014e-11
