,month,canton,companies,tax burden,working population,share of financial sector,share of IT sector,treatment
104,2016-05-31,ZG,3,2361.0,78376.0,0.33,0.33,0.0
105,2016-05-31,ZH,3,4356.0,943505.0,0.33,0.67,0.0
106,2016-05-31,BE,0,3180.9,622339.0,,,0.0
107,2016-05-31,LU,0,2629.7,251486.0,,,0.0
108,2016-05-31,UR,0,3004.49,21652.0,,,0.0
109,2016-05-31,SZ,0,3063.45,98333.0,,,0.0
110,2016-05-31,OW,0,2726.3,23026.0,,,0.0
111,2016-05-31,NW,0,2541.0,26417.0,,,0.0
112,2016-05-31,GL,0,3362.0,24584.0,,,0.0
113,2016-05-31,FR,0,3103.05,193603.0,,,0.0
114,2016-05-31,SO,0,3331.65,166200.0,,,0.0
115,2016-05-31,BS,0,4857.0,121641.0,,,0.0
116,2016-05-31,BL,0,3542.0,169564.0,,,0.0
117,2016-05-31,SH,0,3383.0,48813.0,,,0.0
118,2016-05-31,AR,0,3390.0,33434.0,,,0.0
119,2016-05-31,AI,0,2838.0,9527.0,,,0.0
120,2016-05-31,SG,0,3475.5,309354.0,,,0.0
121,2016-05-31,GR,0,3747.0,121002.0,,,0.0
122,2016-05-31,AG,0,3021.2,415503.0,,,0.0
123,2016-05-31,TG,0,3286.0,169396.0,,,0.0
124,2016-05-31,TI,0,4356.3,211291.0,,,0.0
125,2016-05-31,VD,1,4422.21,483842.0,0.0,1.0,0.0
126,2016-05-31,VS,0,2812.5,206913.0,,,0.0
127,2016-05-31,NE,0,3126.0,107176.0,,,0.0
128,2016-05-31,GE,0,4892.0,305371.0,,,0.0
129,2016-05-31,JU,0,4408.6,42677.0,,,0.0
130,2016-06-30,ZG,3,2361.0,78376.0,0.33,0.33,0.0
131,2016-06-30,ZH,3,4356.0,943505.0,0.33,0.67,0.0
132,2016-06-30,BE,0,3180.9,622339.0,,,0.0
133,2016-06-30,LU,0,2629.7,251486.0,,,0.0
134,2016-06-30,UR,0,3004.49,21652.0,,,0.0
135,2016-06-30,SZ,0,3063.45,98333.0,,,0.0
136,2016-06-30,OW,0,2726.3,23026.0,,,0.0
137,2016-06-30,NW,0,2541.0,26417.0,,,0.0
138,2016-06-30,GL,0,3362.0,24584.0,,,0.0
139,2016-06-30,FR,0,3103.05,193603.0,,,0.0
140,2016-06-30,SO,0,3331.65,166200.0,,,0.0
141,2016-06-30,BS,0,4857.0,121641.0,,,0.0
142,2016-06-30,BL,0,3542.0,169564.0,,,0.0
143,2016-06-30,SH,0,3383.0,48813.0,,,0.0
144,2016-06-30,AR,0,3390.0,33434.0,,,0.0
145,2016-06-30,AI,0,2838.0,9527.0,,,0.0
146,2016-06-30,SG,0,3475.5,309354.0,,,0.0
147,2016-06-30,GR,0,3747.0,121002.0,,,0.0
148,2016-06-30,AG,0,3021.2,415503.0,,,0.0
149,2016-06-30,TG,0,3286.0,169396.0,,,0.0
150,2016-06-30,TI,0,4356.3,211291.0,,,0.0
151,2016-06-30,VD,1,4422.21,483842.0,0.0,1.0,0.0
152,2016-06-30,VS,0,2812.5,206913.0,,,0.0
153,2016-06-30,NE,0,3126.0,107176.0,,,0.0
154,2016-06-30,GE,0,4892.0,305371.0,,,0.0
155,2016-06-30,JU,0,4408.6,42677.0,,,0.0
156,2016-07-31,ZG,4,2361.0,78376.0,0.25,0.5,0.0
157,2016-07-31,ZH,4,4356.0,943505.0,0.25,0.75,0.0
158,2016-07-31,BE,0,3180.9,622339.0,,,0.0
159,2016-07-31,LU,0,2629.7,251486.0,,,0.0
160,2016-07-31,UR,0,3004.49,21652.0,,,0.0
161,2016-07-31,SZ,0,3063.45,98333.0,,,0.0
162,2016-07-31,OW,0,2726.3,23026.0,,,0.0
163,2016-07-31,NW,0,2541.0,26417.0,,,0.0
164,2016-07-31,GL,0,3362.0,24584.0,,,0.0
165,2016-07-31,FR,0,3103.05,193603.0,,,0.0
166,2016-07-31,SO,0,3331.65,166200.0,,,0.0
167,2016-07-31,BS,0,4857.0,121641.0,,,0.0
168,2016-07-31,BL,0,3542.0,169564.0,,,0.0
169,2016-07-31,SH,0,3383.0,48813.0,,,0.0
170,2016-07-31,AR,0,3390.0,33434.0,,,0.0
171,2016-07-31,AI,0,2838.0,9527.0,,,0.0
172,2016-07-31,SG,0,3475.5,309354.0,,,0.0
173,2016-07-31,GR,0,3747.0,121002.0,,,0.0
174,2016-07-31,AG,0,3021.2,415503.0,,,0.0
175,2016-07-31,TG,0,3286.0,169396.0,,,0.0
176,2016-07-31,TI,0,4356.3,211291.0,,,0.0
177,2016-07-31,VD,1,4422.21,483842.0,0.0,1.0,0.0
178,2016-07-31,VS,0,2812.5,206913.0,,,0.0
179,2016-07-31,NE,0,3126.0,107176.0,,,0.0
180,2016-07-31,GE,0,4892.0,305371.0,,,0.0
181,2016-07-31,JU,0,4408.6,42677.0,,,0.0
182,2016-08-31,ZG,7,2361.0,78376.0,0.29,0.57,0.0
183,2016-08-31,ZH,4,4356.0,943505.0,0.25,0.75,0.0
184,2016-08-31,BE,0,3180.9,622339.0,,,0.0
185,2016-08-31,LU,0,2629.7,251486.0,,,0.0
186,2016-08-31,UR,0,3004.49,21652.0,,,0.0
187,2016-08-31,SZ,0,3063.45,98333.0,,,0.0
188,2016-08-31,OW,0,2726.3,23026.0,,,0.0
189,2016-08-31,NW,0,2541.0,26417.0,,,0.0
190,2016-08-31,GL,0,3362.0,24584.0,,,0.0
191,2016-08-31,FR,0,3103.05,193603.0,,,0.0
192,2016-08-31,SO,0,3331.65,166200.0,,,0.0
193,2016-08-31,BS,0,4857.0,121641.0,,,0.0
194,2016-08-31,BL,0,3542.0,169564.0,,,0.0
195,2016-08-31,SH,0,3383.0,48813.0,,,0.0
196,2016-08-31,AR,0,3390.0,33434.0,,,0.0
197,2016-08-31,AI,0,2838.0,9527.0,,,0.0
198,2016-08-31,SG,0,3475.5,309354.0,,,0.0
199,2016-08-31,GR,0,3747.0,121002.0,,,0.0
200,2016-08-31,AG,0,3021.2,415503.0,,,0.0
201,2016-08-31,TG,0,3286.0,169396.0,,,0.0
202,2016-08-31,TI,0,4356.3,211291.0,,,0.0
203,2016-08-31,VD,1,4422.21,483842.0,0.0,1.0,0.0
204,2016-08-31,VS,0,2812.5,206913.0,,,0.0
205,2016-08-31,NE,0,3126.0,107176.0,,,0.0
206,2016-08-31,GE,0,4892.0,305371.0,,,0.0
207,2016-08-31,JU,0,4408.6,42677.0,,,0.0
208,2016-09-30,ZG,8,2361.0,78376.0,0.25,0.62,0.0
209,2016-09-30,ZH,4,4356.0,943505.0,0.25,0.75,0.0
210,2016-09-30,BE,0,3180.9,622339.0,,,0.0
211,2016-09-30,LU,0,2629.7,251486.0,,,0.0
212,2016-09-30,UR,0,3004.49,21652.0,,,0.0
213,2016-09-30,SZ,0,3063.45,98333.0,,,0.0
214,2016-09-30,OW,0,2726.3,23026.0,,,0.0
215,2016-09-30,NW,0,2541.0,26417.0,,,0.0
216,2016-09-30,GL,0,3362.0,24584.0,,,0.0
217,2016-09-30,FR,0,3103.05,193603.0,,,0.0
218,2016-09-30,SO,0,3331.65,166200.0,,,0.0
219,2016-09-30,BS,0,4857.0,121641.0,,,0.0
220,2016-09-30,BL,0,3542.0,169564.0,,,0.0
221,2016-09-30,SH,0,3383.0,48813.0,,,0.0
222,2016-09-30,AR,0,3390.0,33434.0,,,0.0
223,2016-09-30,AI,0,2838.0,9527.0,,,0.0
224,2016-09-30,SG,0,3475.5,309354.0,,,0.0
225,2016-09-30,GR,0,3747.0,121002.0,,,0.0
226,2016-09-30,AG,0,3021.2,415503.0,,,0.0
227,2016-09-30,TG,0,3286.0,169396.0,,,0.0
228,2016-09-30,TI,0,4356.3,211291.0,,,0.0
229,2016-09-30,VD,1,4422.21,483842.0,0.0,1.0,0.0
230,2016-09-30,VS,0,2812.5,206913.0,,,0.0
231,2016-09-30,NE,0,3126.0,107176.0,,,0.0
232,2016-09-30,GE,0,4892.0,305371.0,,,0.0
233,2016-09-30,JU,0,4408.6,42677.0,,,0.0
234,2016-10-31,ZG,8,2361.0,78376.0,0.25,0.62,0.0
235,2016-10-31,ZH,5,4356.0,943505.0,0.2,0.8,0.0
236,2016-10-31,BE,0,3180.9,622339.0,,,0.0
237,2016-10-31,LU,0,2629.7,251486.0,,,0.0
238,2016-10-31,UR,0,3004.49,21652.0,,,0.0
239,2016-10-31,SZ,0,3063.45,98333.0,,,0.0
240,2016-10-31,OW,1,2726.3,23026.0,1.0,0.0,0.0
241,2016-10-31,NW,0,2541.0,26417.0,,,0.0
242,2016-10-31,GL,0,3362.0,24584.0,,,0.0
243,2016-10-31,FR,0,3103.05,193603.0,,,0.0
244,2016-10-31,SO,0,3331.65,166200.0,,,0.0
245,2016-10-31,BS,0,4857.0,121641.0,,,0.0
246,2016-10-31,BL,0,3542.0,169564.0,,,0.0
247,2016-10-31,SH,1,3383.0,48813.0,0.0,0.0,0.0
248,2016-10-31,AR,0,3390.0,33434.0,,,0.0
249,2016-10-31,AI,0,2838.0,9527.0,,,0.0
250,2016-10-31,SG,0,3475.5,309354.0,,,0.0
251,2016-10-31,GR,0,3747.0,121002.0,,,0.0
252,2016-10-31,AG,0,3021.2,415503.0,,,0.0
253,2016-10-31,TG,0,3286.0,169396.0,,,0.0
254,2016-10-31,TI,0,4356.3,211291.0,,,0.0
255,2016-10-31,VD,1,4422.21,483842.0,0.0,1.0,0.0
256,2016-10-31,VS,0,2812.5,206913.0,,,0.0
257,2016-10-31,NE,0,3126.0,107176.0,,,0.0
258,2016-10-31,GE,0,4892.0,305371.0,,,0.0
259,2016-10-31,JU,0,4408.6,42677.0,,,0.0
260,2016-11-30,ZG,10,2361.0,78376.0,0.3,0.5,0.0
261,2016-11-30,ZH,5,4356.0,943505.0,0.2,0.8,0.0
262,2016-11-30,BE,0,3180.9,622339.0,,,0.0
263,2016-11-30,LU,0,2629.7,251486.0,,,0.0
264,2016-11-30,UR,0,3004.49,21652.0,,,0.0
265,2016-11-30,SZ,0,3063.45,98333.0,,,0.0
266,2016-11-30,OW,1,2726.3,23026.0,1.0,0.0,0.0
267,2016-11-30,NW,0,2541.0,26417.0,,,0.0
268,2016-11-30,GL,0,3362.0,24584.0,,,0.0
269,2016-11-30,FR,0,3103.05,193603.0,,,0.0
270,2016-11-30,SO,0,3331.65,166200.0,,,0.0
271,2016-11-30,BS,0,4857.0,121641.0,,,0.0
272,2016-11-30,BL,0,3542.0,169564.0,,,0.0
273,2016-11-30,SH,1,3383.0,48813.0,0.0,0.0,0.0
274,2016-11-30,AR,0,3390.0,33434.0,,,0.0
275,2016-11-30,AI,0,2838.0,9527.0,,,0.0
276,2016-11-30,SG,0,3475.5,309354.0,,,0.0
277,2016-11-30,GR,0,3747.0,121002.0,,,0.0
278,2016-11-30,AG,0,3021.2,415503.0,,,0.0
279,2016-11-30,TG,0,3286.0,169396.0,,,0.0
280,2016-11-30,TI,0,4356.3,211291.0,,,0.0
281,2016-11-30,VD,1,4422.21,483842.0,0.0,1.0,0.0
282,2016-11-30,VS,0,2812.5,206913.0,,,0.0
283,2016-11-30,NE,0,3126.0,107176.0,,,0.0
284,2016-11-30,GE,0,4892.0,305371.0,,,0.0
285,2016-11-30,JU,0,4408.6,42677.0,,,0.0
286,2016-12-31,ZG,10,2361.0,78376.0,0.3,0.5,0.0
287,2016-12-31,ZH,6,4356.0,943505.0,0.17,0.83,0.0
288,2016-12-31,BE,0,3180.9,622339.0,,,0.0
289,2016-12-31,LU,0,2629.7,251486.0,,,0.0
290,2016-12-31,UR,0,3004.49,21652.0,,,0.0
291,2016-12-31,SZ,0,3063.45,98333.0,,,0.0
292,2016-12-31,OW,1,2726.3,23026.0,1.0,0.0,0.0
293,2016-12-31,NW,0,2541.0,26417.0,,,0.0
294,2016-12-31,GL,0,3362.0,24584.0,,,0.0
295,2016-12-31,FR,0,3103.05,193603.0,,,0.0
296,2016-12-31,SO,0,3331.65,166200.0,,,0.0
297,2016-12-31,BS,0,4857.0,121641.0,,,0.0
298,2016-12-31,BL,0,3542.0,169564.0,,,0.0
299,2016-12-31,SH,1,3383.0,48813.0,0.0,0.0,0.0
300,2016-12-31,AR,0,3390.0,33434.0,,,0.0
301,2016-12-31,AI,0,2838.0,9527.0,,,0.0
302,2016-12-31,SG,0,3475.5,309354.0,,,0.0
303,2016-12-31,GR,0,3747.0,121002.0,,,0.0
304,2016-12-31,AG,0,3021.2,415503.0,,,0.0
305,2016-12-31,TG,0,3286.0,169396.0,,,0.0
306,2016-12-31,TI,0,4356.3,211291.0,,,0.0
307,2016-12-31,VD,1,4422.21,483842.0,0.0,1.0,0.0
308,2016-12-31,VS,0,2812.5,206913.0,,,0.0
309,2016-12-31,NE,0,3126.0,107176.0,,,0.0
310,2016-12-31,GE,0,4892.0,305371.0,,,0.0
311,2016-12-31,JU,0,4408.6,42677.0,,,0.0
312,2017-01-31,ZG,10,2361.0,79087.0,0.3,0.5,0.0
313,2017-01-31,ZH,6,4356.0,952121.0,0.17,0.83,0.0
314,2017-01-31,BE,0,3180.9,622668.0,,,0.0
315,2017-01-31,LU,0,2629.7,252896.0,,,0.0
316,2017-01-31,UR,0,2990.19,21656.0,,,0.0
317,2017-01-31,SZ,0,3063.45,99111.0,,,0.0
318,2017-01-31,OW,1,2726.3,23079.0,1.0,0.0,0.0
319,2017-01-31,NW,0,2541.0,26620.0,,,0.0
320,2017-01-31,GL,0,3362.0,24631.0,,,0.0
321,2017-01-31,FR,0,3103.05,195404.0,,,0.0
322,2017-01-31,SO,0,3273.2,167169.0,,,0.0
323,2017-01-31,BS,0,4857.0,122052.0,,,0.0
