canton,weights
AG,1.1179242645162139e-4
AI,-1.2312368637095036e-4
BE,0.5858477948859828
BL,1.0981684816809338e-4
BS,1.2780630877823326e-4
FR,2.7915952524203657e-5
GE,8.135668061417716e-5
GR,9.803328813427232e-5
JU,0.333166770948864
LU,-2.698117421788681e-5
NE,-1.7134706769302807e-4
OW,-9.641467297270593e-5
SG,1.2403274540678086e-4
SH,1.8768551519792262e-5
SZ,-1.2098045959368892e-4
TI,2.2865669724537783e-6
UR,-1.013030474294427e-4
VS,-1.5276322803901137e-5
ZG,-7.870882989502797e-4
ZH,0.08172613952261037
