canton,weights
AG,3.748516118703596e-5
AI,0.9030792707149617
BE,-3.3386058535660946e-5
BL,2.886723496240259e-6
BS,-7.569326484131748e-5
FR,7.872073443291262e-5
GE,-3.3191447876972324e-4
GR,3.151688552581002e-5
JU,-8.059746303604889e-5
LU,0.08228168550735963
NE,-2.913364200338536e-6
SG,1.3519414586164771e-6
SH,1.2830360780109986e-4
SZ,3.146727801406588e-5
TI,-2.4620500236565497e-4
UR,1.1599581233080142e-4
VD,-3.168878545721243e-5
VS,1.176201177156777e-4
ZG,0.015065535844145638
ZH,-1.6944191145583625e-4
