canton,weights
AG,-1.765197521597597e-4
AI,1.0917474206871008e-4
AR,2.1508604129488325e-4
BE,-2.963199065504376e-4
BL,2.47110322893706e-4
BS,-5.260861876345095e-5
FR,1.5590652446892262e-4
GE,-0.0013114654906711475
GL,1.8674382504581857e-4
GR,1.593947964363885e-4
JU,0.4381593843099868
LU,-4.579259187998132e-5
NE,-6.690960619214233e-4
NW,6.842631591408395e-5
OW,1.2909405483382634e-4
SG,1.580724743323776e-4
SH,0.30147331020330786
SO,1.9431732205385676e-4
SZ,-6.146151435215653e-5
TG,1.7547961081388396e-4
TI,-6.133525760471629e-4
UR,0.16308910843906863
VS,1.0950349794505907e-4
ZG,0.008132906406263742
ZH,0.09046359762777939
