canton,weights
AG,0.31119127524253165
AI,0.07610030287098807
AR,0.013908700697922766
BE,0.06981035616744291
BL,0.5028279317398748
BS,-0.0068101823084367585
FR,0.08390982019257273
GE,0.06270924314255912
GL,0.03008814102840274
GR,-0.11118628128848203
JU,-0.06907727616875786
LU,-0.08715214530446579
NE,-0.1437271158015507
NW,0.10518958076926777
OW,0.046179482966484844
SH,-0.008763277893168914
SO,0.05374961044245028
SZ,-0.05241076739897582
TG,0.06645939833639188
TI,0.09966470218761973
UR,-0.21297235811348747
VD,0.08216042662188597
VS,0.11544748560283698
ZG,0.006314719419561879
ZH,-0.03361177314459619
