canton,mean_companies,sd_companies,min_companies,p25_companies,p50_companies,p75_companies,max_companies
GE,8,6.627798340578377,0,1,10,11,21
TI,9.607142857142854,6.454694485024726,0,2,11.5,15,18
VD,3.8809523809523823,2.834404643739509,0,1,3,5,11
ZG,60.333333333333364,37.76220247473619,0,21,68,87.25,120
ZH,26.85714285714285,17.750712089665285,0,9.5,27,37.25,60
avg. other canton,0.7794784580498865,0.5901864705698523,0,0.1904761904761905,0.7619047619047619,1.2857142857142858,1.9047619047619049
