canton,weights
AG,7.68066670483086e-6
AI,-0.14418180991619745
BE,-8.1988859136374e-6
BL,-0.0169818837647791
BS,-2.755140738955298e-4
FR,-0.10108720636998876
GE,6.103554447837765e-5
GR,1.1611721575495448e-5
JU,0.40822384845922255
LU,-2.5505722323546857e-4
NE,-1.3715670588410547e-4
OW,0.9994696093081369
SG,-2.901426012160889e-4
SZ,-1.637531847791096e-4
TI,-3.2755707517041225e-5
UR,-4.770278094508072e-4
VD,-6.468541037863677e-5
VS,-0.14387864142264684
ZG,2.8995055881198096e-5
ZH,3.1052319863413697e-5
