canton,weights
AG,5.341967095059702e-9
AI,1.174452455203281e-9
AR,1.174454787078035e-9
BE,2.1256440459071506e-9
BL,1.1744542826524653e-9
BS,-3.282796044292572e-9
FR,1.1744543287494269e-9
GE,-2.0193059455796912e-9
GL,1.1744541876426644e-9
GR,2.2432685019114855e-8
JU,1.1744533101618917e-9
LU,-9.187211569796378e-9
NE,-1.4615823726335613e-9
NW,1.1744542025983305e-9
SG,8.101319629820056e-9
SH,0.9999999759048861
SO,1.1744542167615836e-9
SZ,3.881734443432564e-9
TG,1.1744542070671672e-9
TI,-4.9785886282188686e-9
UR,-9.663411523794794e-9
VD,-9.52927486048748e-10
VS,1.1744541979744724e-9
ZG,5.804094518193832e-10
ZH,1.430010654461446e-9
