canton,weights
AG,-1.774368870363399e-4
AI,1.2271632835636183e-4
BE,-7.050146755374071e-4
BL,9.466933066698497e-4
BS,6.932964025726451e-4
FR,4.01874990514665e-4
GE,-0.0026627734511906658
JU,0.47589859700647447
LU,0.19585424950329675
NE,-0.002748164394376468
OW,4.270053713867325e-4
SG,3.182941590876419e-4
SH,0.3242588961125309
SZ,-0.0012435161722308017
TI,3.5682045427164183e-4
UR,5.337710850968916e-4
VD,7.605948523831229e-4
VS,1.2468019631442373e-4
ZG,0.008306238424332493
ZH,-0.0014668226121623683
