canton,weights
AG,-0.020268466837942412
AI,0.1000401132588595
AR,0.1000401132588522
BE,-0.02346205164814876
BL,0.10004011325884427
FR,0.10004011325883838
GE,0.13082427861672893
GL,0.10004011325883175
GR,6.620326350453997e-4
JU,0.10004011325882761
LU,-0.010383034157197931
NE,0.07408610460741658
NW,0.10004011325882989
OW,-0.015653621278966513
SG,0.012163934170225536
SH,-0.015653621278966464
SO,0.10004011325883147
SZ,-0.0559845989789971
TG,0.10004011325882886
TI,-0.05898560970415806
UR,0.014259624987813083
VD,-0.04963947786811484
VS,0.10004011325883072
ZG,-2.58427695197473e-4
ZH,0.017891801837075855
