canton,weights
AG,5.2706630929549646e-09
AI,0.24999998502948365
BE,6.750749672585564e-10
BS,1.9770070703408625e-8
FR,0.24999998502937543
GE,-4.815977676160958e-9
GR,3.779445101119893e-9
JU,0.24999998502938842
LU,4.442615394756386e-9
NE,1.9809472126035213e-09
OW,2.793746064310162e-9
SG,7.415783291826101e-9
SH,2.7937459876315825e-9
SZ,5.776054166135151e-9
TI,8.534212016718014e-10
UR,6.929438867564679e-9
VD,3.3842562980585634e-9
VS,0.249999985029418
ZG,-5.222411357209041e-10
ZH,-6.452590327596774e-10
