canton,weights
AG,0.13721470344391873
AI,0.2791613292462397
BE,3.323135808110667e-4
BL,2.2654336135706084e-4
BS,1.0399172216314501e-4
FR,0.3422434474583943
GE,-2.6818010021388463e-4
GR,1.6439248979148075e-4
JU,6.531405774630109e-5
LU,0.24279976888120458
NE,1.8539839538794933e-4
OW,3.0979059009200185e-4
SG,2.706279578789645e-4
SH,2.115262967357704e-4
SZ,1.8538967405063686e-4
TI,-3.7807160088646993e-4
UR,2.7249202950004113e-4
VD,1.457242944720568e-4
ZG,-0.002382691113697943
ZH,-8.638106660955951e-4
