canton,weights
AG,0.014190128809706215
AI,0.05420676098206482
AR,0.01575320839530711
BE,0.009430638438345993
BL,0.04467766973105815
FR,0.09282103261088223
GE,0.173534478461333
GL,0.025313095489980487
GR,-0.03114373058653812
JU,0.6929926620723981
LU,-0.03475097536744857
NE,-0.010954347261601681
NW,0.07713998217187756
OW,-0.04301593058328804
SG,0.016618124368109593
SH,-0.07605877700991541
SO,0.0668836067232079
SZ,-0.13337615338127504
TG,0.07632186420343327
TI,-0.07964056214464062
UR,-0.02032680392856678
VD,-0.08289876192596445
VS,0.11643233262655214
ZG,0.0013687630645060223
ZH,0.03448169403949527
