canton,weights
AG,-0.003271889424795755
AI,0.04938663552804632
AR,0.04938663552815105
BE,0.0026116133772665757
BL,0.049386635528130815
BS,-0.008303126041203503
FR,0.049386635528099077
GE,0.18428377126611495
GL,0.0493866355281021
GR,-0.010359912411771964
JU,0.04938663552810245
LU,-0.008261075360209813
NE,0.006735895135102499
NW,0.04938663552810705
OW,-0.007480055267368468
SG,0.1898723053424861
SH,-0.007480055267367054
SO,0.04938663552809613
TG,0.04938663552809755
TI,0.15972009685511984
UR,0.004106532713202428
VD,0.008850723783019003
VS,0.04938663552847412
ZG,-0.0076435825376417865
ZH,0.002752402553382761
