canton,weights
AI,-0.2661513950933477
AR,-0.20859021238941394
BE,0.03930159817780976
BL,0.15687586122872751
BS,-0.21840405689971945
FR,0.29604748373513223
GE,0.19990756267285825
GL,-0.2302630233419013
GR,0.09055593760335119
JU,-0.19159364852006966
LU,0.014817726851815705
NE,0.03474263321516419
NW,-0.21844291087476364
OW,0.048136708999605864
SG,0.3135986254030425
SH,0.11299901111766494
SO,0.15426116494240127
SZ,-0.09757531724425046
TG,0.16632900285597382
TI,-0.027527996823310443
UR,0.15603518920248668
VD,-0.009351022070099694
VS,0.69944949811083
ZG,-0.015478631162830811
ZH,3.202103118749646e-4
