canton,weights
AG,0.14860872132576786
AI,5.7784764699970705e-5
BE,1.0092921121671442e-4
BS,7.562814721761209e-5
FR,0.40746223112524316
GE,-2.0454340099918654e-5
GR,7.040883767156302e-5
JU,0.4441877774731366
LU,7.085141674147079e-5
NE,2.0770034766713382e-5
OW,4.696239234214527e-5
SG,8.694974573264039e-5
SH,5.775994151525519e-5
SZ,2.3188177252624547e-5
TI,-6.049713694026256e-5
UR,4.8612928399597686e-5
VD,8.152732430199523e-5
VS,8.053205003815794e-5
ZG,-8.151972473167916e-4
ZH,-1.844861711567276e-4
