month,days,canton,companies,employees,followers,other legal forms,AG's,GmbH's,share of AG's,share of GmbH's,financial sector,IT sector,other sectors,share of financial sector,share of IT sector,taxes,working_population,treatment
31.03.16,60,VD,1,87,7823,0,1,0,1,0,0,1,0,0,1,4422.21,483842,0
31.03.16,60,VS,0,0,0,0,0,0,,,0,0,0,,,2812.5,206913,0
31.03.16,60,NE,0,0,0,0,0,0,,,0,0,0,,,3126,107176,0
31.03.16,60,GE,0,0,0,0,0,0,,,0,0,0,,,4892,305371,0
31.03.16,60,JU,0,0,0,0,0,0,,,0,0,0,,,4408.6,42677,0
30.04.16,90,ZG,2,2,62,0,0,2,0,1,1,1,0,0.5,0.5,2361,78376,0
30.04.16,90,ZH,2,632,16056,0,2,0,1,0,1,1,0,0.5,0.5,4356,943505,0
30.04.16,90,BE,0,0,0,0,0,0,,,0,0,0,,,3180.9,622339,0
30.04.16,90,LU,0,0,0,0,0,0,,,0,0,0,,,2629.7,251486,0
30.04.16,90,UR,0,0,0,0,0,0,,,0,0,0,,,3004.4892,21652,0
30.04.16,90,SZ,0,0,0,0,0,0,,,0,0,0,,,3063.45,98333,0
30.04.16,90,OW,0,0,0,0,0,0,,,0,0,0,,,2726.3,23026,0
30.04.16,90,NW,0,0,0,0,0,0,,,0,0,0,,,2541,26417,0
30.04.16,90,GL,0,0,0,0,0,0,,,0,0,0,,,3362,24584,0
30.04.16,90,FR,0,0,0,0,0,0,,,0,0,0,,,3103.05,193603,0
30.04.16,90,SO,0,0,0,0,0,0,,,0,0,0,,,3331.65,166200,0
30.04.16,90,BS,0,0,0,0,0,0,,,0,0,0,,,4857,121641,0
30.04.16,90,BL,0,0,0,0,0,0,,,0,0,0,,,3542,169564,0
30.04.16,90,SH,0,0,0,0,0,0,,,0,0,0,,,3383,48813,0
30.04.16,90,AR,0,0,0,0,0,0,,,0,0,0,,,3390,33434,0
30.04.16,90,AI,0,0,0,0,0,0,,,0,0,0,,,2838,9527,0
30.04.16,90,SG,0,0,0,0,0,0,,,0,0,0,,,3475.5,309354,0
30.04.16,90,GR,0,0,0,0,0,0,,,0,0,0,,,3747,121002,0
30.04.16,90,AG,0,0,0,0,0,0,,,0,0,0,,,3021.2,415503,0
30.04.16,90,TG,0,0,0,0,0,0,,,0,0,0,,,3286,169396,0
30.04.16,90,TI,0,0,0,0,0,0,,,0,0,0,,,4356.3,211291,0
30.04.16,90,VD,1,87,7823,0,1,0,1,0,0,1,0,0,1,4422.21,483842,0
30.04.16,90,VS,0,0,0,0,0,0,,,0,0,0,,,2812.5,206913,0
30.04.16,90,NE,0,0,0,0,0,0,,,0,0,0,,,3126,107176,0
30.04.16,90,GE,0,0,0,0,0,0,,,0,0,0,,,4892,305371,0
30.04.16,90,JU,0,0,0,0,0,0,,,0,0,0,,,4408.6,42677,0
31.05.16,121,ZG,3,83,2217,0,1,2,0.333333333,0.666666667,1,1,1,0.333333333,0.333333333,2361,78376,0
31.05.16,121,ZH,3,677,20152,0,3,0,1,0,1,2,0,0.333333333,0.666666667,4356,943505,0
31.05.16,121,BE,0,0,0,0,0,0,,,0,0,0,,,3180.9,622339,0
31.05.16,121,LU,0,0,0,0,0,0,,,0,0,0,,,2629.7,251486,0
31.05.16,121,UR,0,0,0,0,0,0,,,0,0,0,,,3004.4892,21652,0
31.05.16,121,SZ,0,0,0,0,0,0,,,0,0,0,,,3063.45,98333,0
31.05.16,121,OW,0,0,0,0,0,0,,,0,0,0,,,2726.3,23026,0
31.05.16,121,NW,0,0,0,0,0,0,,,0,0,0,,,2541,26417,0
31.05.16,121,GL,0,0,0,0,0,0,,,0,0,0,,,3362,24584,0
31.05.16,121,FR,0,0,0,0,0,0,,,0,0,0,,,3103.05,193603,0
31.05.16,121,SO,0,0,0,0,0,0,,,0,0,0,,,3331.65,166200,0
31.05.16,121,BS,0,0,0,0,0,0,,,0,0,0,,,4857,121641,0
31.05.16,121,BL,0,0,0,0,0,0,,,0,0,0,,,3542,169564,0
31.05.16,121,SH,0,0,0,0,0,0,,,0,0,0,,,3383,48813,0
31.05.16,121,AR,0,0,0,0,0,0,,,0,0,0,,,3390,33434,0
31.05.16,121,AI,0,0,0,0,0,0,,,0,0,0,,,2838,9527,0
31.05.16,121,SG,0,0,0,0,0,0,,,0,0,0,,,3475.5,309354,0
31.05.16,121,GR,0,0,0,0,0,0,,,0,0,0,,,3747,121002,0
31.05.16,121,AG,0,0,0,0,0,0,,,0,0,0,,,3021.2,415503,0
31.05.16,121,TG,0,0,0,0,0,0,,,0,0,0,,,3286,169396,0
31.05.16,121,TI,0,0,0,0,0,0,,,0,0,0,,,4356.3,211291,0
31.05.16,121,VD,1,87,7823,0,1,0,1,0,0,1,0,0,1,4422.21,483842,0
31.05.16,121,VS,0,0,0,0,0,0,,,0,0,0,,,2812.5,206913,0
31.05.16,121,NE,0,0,0,0,0,0,,,0,0,0,,,3126,107176,0
31.05.16,121,GE,0,0,0,0,0,0,,,0,0,0,,,4892,305371,0
31.05.16,121,JU,0,0,0,0,0,0,,,0,0,0,,,4408.6,42677,0
30.06.16,151,ZG,3,83,2217,0,1,2,0.333333333,0.666666667,1,1,1,0.333333333,0.333333333,2361,78376,0
30.06.16,151,ZH,3,677,20152,0,3,0,1,0,1,2,0,0.333333333,0.666666667,4356,943505,0
30.06.16,151,BE,0,0,0,0,0,0,,,0,0,0,,,3180.9,622339,0
30.06.16,151,LU,0,0,0,0,0,0,,,0,0,0,,,2629.7,251486,0
30.06.16,151,UR,0,0,0,0,0,0,,,0,0,0,,,3004.4892,21652,0
30.06.16,151,SZ,0,0,0,0,0,0,,,0,0,0,,,3063.45,98333,0
30.06.16,151,OW,0,0,0,0,0,0,,,0,0,0,,,2726.3,23026,0
30.06.16,151,NW,0,0,0,0,0,0,,,0,0,0,,,2541,26417,0
30.06.16,151,GL,0,0,0,0,0,0,,,0,0,0,,,3362,24584,0
30.06.16,151,FR,0,0,0,0,0,0,,,0,0,0,,,3103.05,193603,0
30.06.16,151,SO,0,0,0,0,0,0,,,0,0,0,,,3331.65,166200,0
30.06.16,151,BS,0,0,0,0,0,0,,,0,0,0,,,4857,121641,0
30.06.16,151,BL,0,0,0,0,0,0,,,0,0,0,,,3542,169564,0
30.06.16,151,SH,0,0,0,0,0,0,,,0,0,0,,,3383,48813,0
30.06.16,151,AR,0,0,0,0,0,0,,,0,0,0,,,3390,33434,0
30.06.16,151,AI,0,0,0,0,0,0,,,0,0,0,,,2838,9527,0
30.06.16,151,SG,0,0,0,0,0,0,,,0,0,0,,,3475.5,309354,0
30.06.16,151,GR,0,0,0,0,0,0,,,0,0,0,,,3747,121002,0
30.06.16,151,AG,0,0,0,0,0,0,,,0,0,0,,,3021.2,415503,0
30.06.16,151,TG,0,0,0,0,0,0,,,0,0,0,,,3286,169396,0
30.06.16,151,TI,0,0,0,0,0,0,,,0,0,0,,,4356.3,211291,0
30.06.16,151,VD,1,87,7823,0,1,0,1,0,0,1,0,0,1,4422.21,483842,0
