canton,weights
AG,6.855014508189478e-9
AI,3.0030272064273857e-9
BE,2.7329591471674744e-9
BL,3.0030270449873384e-9
BS,-4.205180748483513e-9
FR,3.0030271494930335e-9
GE,-2.59232063714377e-9
GR,2.881188086657267e-8
JU,3.003027444725948e-9
LU,-1.1793395203121335e-8
NE,-1.8742789587091327e-9
OW,0.9999999690793896
SG,1.0409413681995233e-8
SZ,4.9877791018805195e-9
TI,-6.39105800732832e-9
UR,-1.239600868867408e-8
VD,-1.2194819285750903e-9
VS,3.0030282485695007e-9
ZG,7.442022864763599e-10
ZH,1.8348941804156178e-9
