canton,weights
AG,0.18023742725894126
AI,0.07411738461970485
AR,0.07411738461974472
BE,-9.535241747288647e-6
BL,0.07411738461975652
BS,-1.3559463304418606e-4
FR,0.0741173846197344
GE,0.00231024131354342
GL,0.07411738461973909
GR,-8.508034022063683e-4
JU,0.07411738461975186
LU,-9.388457784400035e-4
NE,-0.0019951482511174376
NW,0.07411738461975526
OW,-6.899483174251681e-4
SH,-6.899483174251732e-4
SO,0.0741173846197831
SZ,0.020342260640851727
TG,0.07411738461977538
TI,0.06594259130658184
UR,1.2361543088899026e-5
VD,-1.832085854452572e-4
VS,0.0741173846198449
ZG,0.0010287917828174576
ZH,-0.00555448751638464
