canton,weights
AG,8.975168237188667e-9
AI,0.12000845574112852
AR,0.10728422948266132
BE,3.1453140069311323e-10
BL,0.10330713460905
BS,3.760843691762025e-9
FR,0.11452495819913762
GE,-2.073533755528856e-9
GL,0.11081929119357964
GR,1.3976064831787357e-10
JU,0.08942291402194726
LU,9.100650213129829e-10
NE,-1.3854947947705943e-10
NW,0.12478986743811167
OW,1.0214718325358982e-7
SG,-6.414453031569284e-10
SH,-1.0253921578922242e-7
SO,0.10987325661709416
SZ,1.782617345675078e-9
TI,6.716796109763052e-11
UR,-3.439012881657432e-10
VD,8.141231748225856e-10
VS,0.11996987959567534
ZG,1.6506218564350594e-11
ZH,-9.045454101033204e-11
