Month,Canton,Companies (Y),Tax Burden (TX),Working Population (WP),Share of financial Sector (f),Share of IT Sector (it),Treatment (t)
2016-08-31,LU,0,2629.7,251486.0,,,0.0
2016-08-31,UR,0,3004.4892,21652.0,,,0.0
2016-08-31,SZ,0,3063.45,98333.0,,,0.0
2016-08-31,OW,0,2726.3,23026.0,,,0.0
2016-08-31,NW,0,2541.0,26417.0,,,0.0
2016-08-31,GL,0,3362.0,24584.0,,,0.0
2016-08-31,FR,0,3103.05,193603.0,,,0.0
2016-08-31,SO,0,3331.65,166200.0,,,0.0
2016-08-31,BS,0,4857.0,121641.0,,,0.0
2016-08-31,BL,0,3542.0,169564.0,,,0.0
2016-08-31,SH,0,3383.0,48813.0,,,0.0
2016-08-31,AR,0,3390.0,33434.0,,,0.0
2016-08-31,AI,0,2838.0,9527.0,,,0.0
2016-08-31,SG,0,3475.5,309354.0,,,0.0
2016-08-31,GR,0,3747.0,121002.0,,,0.0
2016-08-31,AG,0,3021.2,415503.0,,,0.0
2016-08-31,TG,0,3286.0,169396.0,,,0.0
2016-08-31,TI,0,4356.299999999999,211291.0,,,0.0
2016-08-31,VD,1,4422.21,483842.0,0.0,1.0,0.0
2016-08-31,VS,0,2812.5,206913.0,,,0.0
2016-08-31,NE,0,3126.0,107176.0,,,0.0
2016-08-31,GE,0,4892.0,305371.0,,,0.0
2016-08-31,JU,0,4408.6,42677.0,,,0.0
2016-09-30,ZG,8,2361.0,78376.0,0.25,0.625,0.0
2016-09-30,ZH,4,4356.0,943505.0,0.25,0.75,0.0
2016-09-30,BE,0,3180.9,622339.0,,,0.0
2016-09-30,LU,0,2629.7,251486.0,,,0.0
2016-09-30,UR,0,3004.4892,21652.0,,,0.0
2016-09-30,SZ,0,3063.45,98333.0,,,0.0
2016-09-30,OW,0,2726.3,23026.0,,,0.0
2016-09-30,NW,0,2541.0,26417.0,,,0.0
2016-09-30,GL,0,3362.0,24584.0,,,0.0
2016-09-30,FR,0,3103.05,193603.0,,,0.0
2016-09-30,SO,0,3331.65,166200.0,,,0.0
2016-09-30,BS,0,4857.0,121641.0,,,0.0
2016-09-30,BL,0,3542.0,169564.0,,,0.0
2016-09-30,SH,0,3383.0,48813.0,,,0.0
2016-09-30,AR,0,3390.0,33434.0,,,0.0
2016-09-30,AI,0,2838.0,9527.0,,,0.0
2016-09-30,SG,0,3475.5,309354.0,,,0.0
2016-09-30,GR,0,3747.0,121002.0,,,0.0
2016-09-30,AG,0,3021.2,415503.0,,,0.0
2016-09-30,TG,0,3286.0,169396.0,,,0.0
2016-09-30,TI,0,4356.299999999999,211291.0,,,0.0
2016-09-30,VD,1,4422.21,483842.0,0.0,1.0,0.0
2016-09-30,VS,0,2812.5,206913.0,,,0.0
2016-09-30,NE,0,3126.0,107176.0,,,0.0
2016-09-30,GE,0,4892.0,305371.0,,,0.0
2016-09-30,JU,0,4408.6,42677.0,,,0.0
2016-10-31,ZG,8,2361.0,78376.0,0.25,0.625,0.0
2016-10-31,ZH,5,4356.0,943505.0,0.2,0.8,0.0
2016-10-31,BE,0,3180.9,622339.0,,,0.0
2016-10-31,LU,0,2629.7,251486.0,,,0.0
2016-10-31,UR,0,3004.4892,21652.0,,,0.0
2016-10-31,SZ,0,3063.45,98333.0,,,0.0
2016-10-31,OW,1,2726.3,23026.0,1.0,0.0,0.0
2016-10-31,NW,0,2541.0,26417.0,,,0.0
2016-10-31,GL,0,3362.0,24584.0,,,0.0
2016-10-31,FR,0,3103.05,193603.0,,,0.0
2016-10-31,SO,0,3331.65,166200.0,,,0.0
2016-10-31,BS,0,4857.0,121641.0,,,0.0
2016-10-31,BL,0,3542.0,169564.0,,,0.0
2016-10-31,SH,1,3383.0,48813.0,0.0,0.0,0.0
