canton,MSPE before the Treatment,MSPE after the Treatment,MSPE Ratio (R),Cutoff (c)
ZH,3.006665264,17.72611423,5.895606152,15
TI,1.669317668,25.23899375,15.1193474,15
GE,1.639616264,20.73245419,12.64469903,15
ZG,26.90853414,108.601939,4.035966374,16
ZH,3.006665264,17.72611425,5.895606157,16
TI,1.669317668,25.23899375,15.1193474,16
GE,1.639616264,20.73245419,12.64469903,16
ZG,26.90853414,108.601939,4.035966374,17
ZH,3.006665264,17.72611423,5.895606152,17
TI,1.669317668,25.23899375,15.1193474,17
GE,1.639616264,20.73245419,12.64469903,17
ZG,26.90853414,108.601939,4.035966374,18
ZH,3.006665264,17.72611423,5.895606152,18
TI,1.669317668,25.23899375,15.1193474,18
GE,1.639616264,20.73245419,12.64469903,18
ZG,29.97727184,61.67077385,2.057251046,19
ZH,3.006693479,17.74412102,5.901539729,19
GE,7.451823013,65.65791507,8.810986916,19
ZG,29.97727184,61.67077385,2.057251046,20
ZH,3.006693479,17.74412102,5.901539729,20
GE,7.451823013,65.65791507,8.810986916,20
