canton,weights
AG,-0.020470931227452697
AI,0.01818805040909177
AR,0.018188050409071097
BL,0.018188050409086026
BS,-0.00735900485703679
FR,0.018188050409082862
GE,-0.125206079803537
GL,0.018188050409081082
GR,-0.06487536529439696
JU,0.01818805040907524
LU,0.2311147885639263
NE,0.32061116260246914
NW,0.018188050409098183
OW,-0.0437189039142542
SG,0.016741557075473135
SH,-0.04371890391425569
SO,0.018188050409101514
SZ,-0.0074238195425496
TG,0.018188050409096865
TI,0.17949901507692642
UR,0.4127111184861135
VD,-0.0469735299042873
VS,0.018188050409161657
ZG,-0.01115719575127493
ZH,0.028345588315200284
