canton,weights
AG,-2.493866610697181e-6
AI,5.987813251000177e-6
BE,-6.1792838442075795e-6
BL,7.195423294148175e-6
BS,-2.1674147548470983e-6
FR,6.396945041364633e-6
GE,-3.853132573137803e-5
GR,5.125906747665596e-6
JU,0.4378250679035867
LU,2.5297109266297988e-6
NE,-1.638043067401482e-5
OW,7.1860832043485195e-6
SG,5.3192303833109175e-6
SH,0.30126163931650535
SZ,1.3015115697951927e-7
TI,-1.875001236139044e-5
UR,0.16287762700619132
VS,5.9906914742556314e-6
ZG,0.007993179569581552
ZH,0.09008112658412035
